outcome,treatment,learner,subgroup,subgroup_value,subgroup_label,cate,se,ci_lower,ci_upper,t_stat,p_value,significant,N
diarrhea,treat_boil,stacked,wealth_quintile,1,Q1 (Poorest),-0.0541213674753822,0.0163885527774133,-0.0862429309191122,-0.0219998040316521,-3.30238845433455,0.000958652081334625,***,6963
diarrhea,treat_boil,stacked,wealth_quintile,2,Q2,-0.075914578662766,0.0149575293797889,-0.105231336247152,-0.0465978210783798,-5.07534210598605,3.86799437810616e-07,***,5478
diarrhea,treat_boil,stacked,wealth_quintile,3,Q3,-0.0696250855644369,0.0153041126550404,-0.0996211463683161,-0.0396290247605577,-4.54943629426995,5.37898149333125e-06,***,4879
diarrhea,treat_boil,stacked,wealth_quintile,4,Q4,0.00531630484060591,0.0271506108776844,-0.0478988924796556,0.0585315021608674,0.195807927289602,0.844760505105075,"",4292
diarrhea,treat_boil,stacked,wealth_quintile,5,Q5 (Richest),-0.00449413232766034,0.0263161928312627,-0.0560738702769352,0.0470856056216145,-0.170774410891285,0.864401150622954,"",3590
very_high_risk_home,treat_boil,stacked,wealth_quintile,1,Q1 (Poorest),-0.144446434753069,0.0122447870328027,-0.168446217337362,-0.120446652168775,-11.7965657031118,4.0656787260121e-32,***,15153
very_high_risk_home,treat_boil,stacked,wealth_quintile,2,Q2,-0.128285586812757,0.0139238531951984,-0.155576339075346,-0.100994834550168,-9.2133682404089,3.16048557579747e-20,***,12354
very_high_risk_home,treat_boil,stacked,wealth_quintile,3,Q3,-0.104407102169134,0.014645994805517,-0.133113251987947,-0.0757009523503205,-7.12871358726719,1.01311296202526e-12,***,11487
very_high_risk_home,treat_boil,stacked,wealth_quintile,4,Q4,-0.078521419574439,0.0151109679683795,-0.108138916792463,-0.0489039223564152,-5.19631963609143,2.03272631675723e-07,***,10806
very_high_risk_home,treat_boil,stacked,wealth_quintile,5,Q5 (Richest),-0.0497233158172705,0.0147481989371624,-0.0786297857341088,-0.0208168459004322,-3.37148393706421,0.000747643984659912,***,9820
some_risk_home,treat_boil,stacked,wealth_quintile,1,Q1 (Poorest),-0.0362039017690605,0.013401346746455,-0.0624705413921123,-0.00993726214600861,-2.70151220276703,0.0069024947390547,***,15153
some_risk_home,treat_boil,stacked,wealth_quintile,2,Q2,-0.0456654694201939,0.0156088406811723,-0.0762587971552916,-0.0150721416850962,-2.92561570413596,0.00343775311574342,***,12354
some_risk_home,treat_boil,stacked,wealth_quintile,3,Q3,-0.034522164959085,0.017610543307027,-0.0690388298408579,-5.50007731216218e-06,-1.96031231729858,0.0499592972319195,***,11487
some_risk_home,treat_boil,stacked,wealth_quintile,4,Q4,-0.0622846623001006,0.0183635197015688,-0.0982771609151754,-0.0262921636850258,-3.39176058360858,0.00069445092474122,***,10806
some_risk_home,treat_boil,stacked,wealth_quintile,5,Q5 (Richest),-0.0451030827922419,0.0207721989616843,-0.0858165927571432,-0.00438957282734064,-2.17131960248588,0.0299070215363789,***,9820
diarrhea,treat_boil,stacked,RiskSource,0,No Risk,-0.0425932805277938,0.0127311217330117,-0.0675462791244968,-0.0176402819310909,-3.34560311503029,0.000821038244136498,***,9248
diarrhea,treat_boil,stacked,RiskSource,1,Moderate/High,-0.0470187675897229,0.0148415653551837,-0.076108235685883,-0.0179292994935628,-3.16804639298379,0.00153467028605922,***,9650
diarrhea,treat_boil,stacked,RiskSource,2,Very High,-0.0441133447387631,0.0184056997120663,-0.080188516174413,-0.00803817330311322,-2.39672196269961,0.0165424708520479,***,6304
